experiment,seed,evaluations,best_nrmse
BARENTS,17,56,0.8386505414238083
BARENTS,17,64,0.312711304137615
BARENTS,17,72,0.312711304137615
BARENTS,17,80,0.312711304137615
BARENTS,17,88,0.312711304137615
BARENTS,17,96,0.312711304137615
BARENTS,17,104,0.312711304137615
BARENTS,17,112,0.312711304137615
BARENTS,17,120,0.312711304137615
BARENTS,17,128,0.312711304137615
BARENTS,17,136,0.312711304137615
BARENTS,17,144,0.312711304137615
BARENTS,17,152,0.312711304137615
BARENTS,17,160,0.312711304137615
BARENTS,17,168,0.312711304137615
BARENTS,17,176,0.312711304137615
BARENTS,17,184,0.312711304137615
BARENTS,17,192,0.312711304137615
BARENTS,17,208,0.312711304137615
BARENTS,17,216,0.312711304137615
BARENTS,17,224,0.312711304137615
BARENTS,17,232,0.312711304137615
BARENTS,17,248,0.312711304137615
BARENTS,17,256,0.312711304137615
BARENTS,17,264,0.312711304137615
BARENTS,17,280,0.312711304137615
BARENTS,17,288,0.312711304137615
BARENTS,17,304,0.312711304137615
BARENTS,17,320,0.3116256266938959
BARENTS,17,336,0.24958913455319878
BARENTS,17,352,0.1598765091413987
BARENTS,17,368,0.06772883189509009
BARENTS,17,384,0.06772883189509009
BARENTS,17,400,0.06772883189509009
BARENTS,17,416,0.06772883189509009
BARENTS,17,432,0.06772883189509009
BARENTS,17,456,0.06772883189509009
BARENTS,17,472,0.06772883189509009
BARENTS,17,496,0.06772883189509009
BARENTS,17,520,0.05095767805225321
BARENTS,17,544,0.04228172385241067
BARENTS,17,568,0.027894576521248084
BARENTS,17,592,0.019088052008286633
BARENTS,17,624,0.017795926925152687
BARENTS,17,648,0.013799133605004343
BARENTS,17,680,0.012365012539850048
BARENTS,17,712,0.01228731193560242
BARENTS,17,744,0.01168397528910588
BARENTS,17,776,0.01168397528910588
BARENTS,17,808,0.011430676173632312
BARENTS,17,848,0.011326515063045292
BARENTS,17,888,0.01120471405188797
BARENTS,17,928,0.011174715581488389
BARENTS,17,968,0.0109982630534722
BARENTS,17,1008,0.010725279530270939
BARENTS,17,1056,0.008098628924584097
BARENTS,17,1104,0.004808164896441111
BARENTS,17,1152,0.004220057054796879
BARENTS,17,1208,0.0026080508133463146
BARENTS,17,1264,0.0022321663497456637
BARENTS,17,1320,0.0013129212789223903
BARENTS,17,1376,0.0010219660262475747
BARENTS,17,1440,0.0009056888256815755
BARENTS,17,1504,0.0009056269336401913
BARENTS,17,1576,0.0009020842901693264
BARENTS,18,8,1.6165968328093556
BARENTS,18,16,1.5110222395000628
BARENTS,18,24,1.2434124676245732
BARENTS,18,32,0.6978022298597547
BARENTS,18,40,0.6978022298597547
BARENTS,18,48,0.6978022298597547
BARENTS,18,56,0.5969939383280571
BARENTS,18,64,0.5969939383280571
BARENTS,18,72,0.5923325471689294
BARENTS,18,80,0.5923325471689294
BARENTS,18,88,0.5923325471689294
BARENTS,18,96,0.5923325471689294
BARENTS,18,104,0.5923325471689294
BARENTS,18,112,0.5923325471689294
BARENTS,18,120,0.5923325471689294
BARENTS,18,128,0.530487783066508
BARENTS,18,136,0.530487783066508
BARENTS,18,144,0.530487783066508
BARENTS,18,152,0.530487783066508
BARENTS,18,160,0.530487783066508
BARENTS,18,168,0.530487783066508
BARENTS,18,176,0.530487783066508
BARENTS,18,184,0.36019816623072826
BARENTS,18,192,0.29477496086852734
BARENTS,18,200,0.29477496086852734
BARENTS,18,216,0.2741873633728328
BARENTS,18,224,0.2741873633728328
